ER34101,ER34901,income_2010,income_2020,above_median_2021,wealth_no_equity,wealth_with_equity,age_head,hh_size,num_children,education,education_years,employment_status,family_structure,race_ethnicity,geography,housing_tenure,monthly_housing_cost,annual_housing_cost,housing_cost_burden,cost_burdened
187,2712,36640.0,51218.0,0.0,257000,607000,76,2,0,Less than HS,11.0,Not in Labor Force,Married/Partnered,White (Non-Hispanic),West,Owner,,,,Not Reported
782,4155,14000.0,93620.0,1.0,-4000,-4000,25,1,0,HS Diploma,12.0,Other,Married/Partnered,White (Non-Hispanic),West,Renter,340.0,4080.0,0.2914285714285714,Not Burdened (<30%)
5619,3768,20031.0,16802.0,0.0,-10600,-10600,39,2,1,Some College / AA,14.0,Other,Single/Unpartnered,White (Non-Hispanic),West,Renter,800.0,9600.0,0.4792571514153063,Cost Burdened (≥30%)
582,2217,1000.0,0.0,0.0,-25000,-25000,50,1,0,HS Diploma,12.0,Unemployed,Married/Partnered,White (Non-Hispanic),Midwest,Neither,,,,Not Reported
2765,5279,18720.0,219125.0,1.0,-83000,-83000,23,3,1,Graduate Degree,16.0,Working,Married/Partnered,White (Non-Hispanic),Midwest,Renter,415.0,4980.0,0.266025641025641,Not Burdened (<30%)
1906,1420,24818.0,26604.0,0.0,-12000,25000,64,1,0,HS Diploma,12.0,Working,Single/Unpartnered,White (Non-Hispanic),South,Owner,220.0,2640.0,0.10637440567330164,Not Burdened (<30%)
2346,1359,3600.0,22000.0,0.0,10000,43000,20,2,1,HS Diploma,12.0,Other,Married/Partnered,White (Non-Hispanic),South,Owner,,,,Not Reported
1488,1381,34000.0,44500.0,0.0,19350,49350,47,2,0,Less than HS,11.0,Working,Married/Partnered,White (Non-Hispanic),South,Owner,,,,Not Reported
4594,8832,29000.0,205900.0,1.0,3600,3600,29,1,0,HS Diploma,12.0,Working,Married/Partnered,White (Non-Hispanic),Northeast,Renter,400.0,4800.0,0.16551724137931034,Not Burdened (<30%)
3387,5021,20600.0,70802.0,1.0,-40000,-59000,27,3,2,Some College / AA,14.0,Working,Single/Unpartnered,White (Non-Hispanic),Northeast,Owner,1800.0,21600.0,1.0485436893203883,Cost Burdened (≥30%)
1942,4802,33460.0,94051.0,1.0,-65000,-30000,35,5,3,HS Diploma,12.0,Working,Married/Partnered,White (Non-Hispanic),Northeast,Owner,230.0,2760.0,0.08248655110579797,Not Burdened (<30%)
2311,5124,28168.0,14387.0,0.0,212000,444875,83,1,0,Graduate Degree,17.0,Not in Labor Force,Married/Partnered,Hispanic,Midwest,Owner,,,,Not Reported
273,273,16800.0,7200.0,0.0,800,800,50,1,0,HS Diploma,12.0,Unemployed,Married/Partnered,White (Non-Hispanic),Midwest,Neither,,,,Not Reported
2529,2916,26074.0,26444.0,0.0,25300,30800,60,1,0,Some College / AA,14.0,Working,Single/Unpartnered,White (Non-Hispanic),South,Owner,,,,Not Reported
2408,4054,27048.0,68900.0,1.0,-5800,-5800,36,1,0,Some College / AA,13.0,Working,Married/Partnered,White (Non-Hispanic),West,Renter,450.0,5400.0,0.19964507542147295,Not Burdened (<30%)
5565,3696,31003.0,124181.0,1.0,900,-40100,33,1,0,Graduate Degree,16.0,Working,Married/Partnered,White (Non-Hispanic),West,Owner,825.0,9900.0,0.31932393639325224,Cost Burdened (≥30%)
2210,5290,29340.0,43800.0,0.0,600,69600,75,1,0,HS Diploma,12.0,Not in Labor Force,Married/Partnered,Other,Northeast,Owner,,,,Not Reported
